TouristPlace,Latitude,Longitude
Nehru Science Centre,18.99124000000006,72.81864000000007
Afghan Church,18.906540000000064,72.81660000000005
Cathedral of the Holy Name,18.92348000000004,72.83021000000008
"Church of Our Lady of Dolours, Wadala",19.019090000000062,72.85609000000005
"Church of Our Lady of Health, Cavel",18.94900000000007,72.82777000000004
"Church of Our Lady of Mount Carmel, Bandra",19.046550000000025,72.82226000000003
Gloria Church,18.97557000000006,72.83436000000006
"Holy Cross Church, Kurla",19.084140000000048,72.88754000000006
"Mount Mary Church, Bandra",19.046520000000044,72.82226000000003
Our Lady of Egypt Church,19.07812000000007,72.86903000000007
"Church of Our Lady of Good Counsel & Shrine of St. Anthony, Sion",19.045890000000043,72.86362000000008
"Our Lady of Immaculate Conception Church, Mt. Poinsur",19.23443000000003,72.78212000000008
Portuguese Church,19.018850000000043,72.83718000000005
"Sacred Heart Church, Santacruz",19.015240000000063,72.81945000000007
St. Andrew's Church,19.05511000000007,72.82506000000006
St. John the Baptist Church,19.048110000000065,72.82595000000003
"St. Joseph's Church, Juhu",19.107565819003074,72.82644074660968
St. Michael's Church,19.042530000000056,72.84033000000005
St. Thomas Cathedral,18.932100000000048,72.83395000000007
Babulnath,18.956650000000025,72.80863000000005
ISKCON temple,19.113320000000044,72.82617000000005
Jivdani Mata,19.01520000000005,72.84485000000006
Jogeshwari Caves,19.138140000000078,72.85534000000007
Kadeshwari Devi Temple,19.043090000000063,72.81861000000004
Lalbaugcha Raja,18.99487000000005,72.83900000000006
Mahalakshmi Temple,18.97869000000003,72.82061000000004
Mumba Devi Temple,18.95279000000005,72.83011000000005
Shaneshwar Sansthan,19.053600000000074,72.88538000000005
Shreebalajimandir,18.940170000000023,72.83483000000007
Shri Swaminarayan Mandir,18.953960000000052,72.82986000000005
Siddhivinayak Temple,19.017040000000065,72.83009000000004
Wagheshwari Temple,19.17539000000005,72.87301000000008
Walkeshwar Temple,18.949920000000077,72.80151000000006
Haji Ali Dargah,18.982210000000066,72.80880000000008
Makhdoom Ali Mahimi,18.964392589562543,72.83206063930419
Jama Masjid,19.040460000000053,72.85041000000007
Raudat Tahera,18.960005386615926,72.83060106818903
Gate of Mercy Synagogue,18.940170000000023,72.83483000000007
Knesset Eliyahoo,18.940170000000023,72.83483000000007
Magen David Synagogue (Byculla),18.96688000000006,72.83259000000004
Nariman House,18.94490678351319,72.82817566250219
